Frecuencia,Glifo Poli Ag D 0.1v2,Glifo Poli Ag D 0.08v2,Glifo Poli Ag D 0.04v2,Glifo Poli Ag D 0.02v2,Glifo Poli Ag D 0.01v2,Poli Ag D Agua V2,KCl Poli Ag D 0.1v2,KCl Poli Ag D 0.08v2,KCl Poli Ag D 0.04v2,KCl Poli Ag D 0.02v2,KCl Poli Ag D 0.01v2
266321000,-3.71387,-3.64282,-2.54568,-1.8447,-1.48252,-0.88588,-4.69114,-4.1509,-2.68555,-1.80525,-1.39163
267721000,-3.68305,-3.61039,-2.52613,-1.83087,-1.47407,-0.87626,-4.67478,-4.13357,-2.6793,-1.81135,-1.39539
269121000,-3.65988,-3.59315,-2.5089,-1.82264,-1.46779,-0.87597,-4.64952,-4.10912,-2.6606,-1.80216,-1.38971
270521000,-3.64516,-3.5761,-2.50145,-1.82209,-1.47356,-0.88334,-4.62249,-4.08722,-2.65488,-1.79739,-1.3869
271921000,-3.6331,-3.56329,-2.49728,-1.82225,-1.47774,-0.89229,-4.59314,-4.06912,-2.64166,-1.7919,-1.39537
273321000,-3.61954,-3.55109,-2.48995,-1.81695,-1.47519,-0.89719,-4.57348,-4.04963,-2.63493,-1.78864,-1.3916
274722000,-3.5911,-3.52112,-2.46966,-1.80384,-1.46304,-0.88272,-4.55053,-4.02361,-2.61445,-1.78081,-1.38475
276122000,-3.58411,-3.5159,-2.47376,-1.81046,-1.47231,-0.89862,-4.5241,-4.00198,-2.60692,-1.77575,-1.3886
277522000,-3.56038,-3.501,-2.464,-1.80828,-1.47326,-0.90365,-4.50993,-3.99027,-2.59649,-1.77362,-1.3968
278922000,-3.55193,-3.48365,-2.45825,-1.79829,-1.47373,-0.90576,-4.47624,-3.96161,-2.58182,-1.76683,-1.39349
280322000,-3.53029,-3.46527,-2.44791,-1.79396,-1.47593,-0.90839,-4.45389,-3.94266,-2.57365,-1.76184,-1.39266
281722000,-3.52335,-3.45323,-2.44105,-1.79171,-1.47753,-0.91523,-4.44278,-3.927,-2.56544,-1.76293,-1.39792
283122000,-3.50434,-3.43709,-2.43285,-1.79039,-1.47738,-0.91786,-4.41495,-3.90981,-2.55855,-1.75808,-1.39908
284522000,-3.49181,-3.42658,-2.42812,-1.78917,-1.4806,-0.92656,-4.40291,-3.8883,-2.55084,-1.75986,-1.40202
285922000,-3.48996,-3.42332,-2.43058,-1.79777,-1.49516,-0.94135,-4.37815,-3.87606,-2.54228,-1.75287,-1.40262
287323000,-3.47402,-3.40294,-2.42153,-1.79175,-1.48791,-0.94276,-4.35966,-3.85563,-2.53188,-1.74899,-1.40065
288723000,-3.47038,-3.40219,-2.42058,-1.79685,-1.50156,-0.95022,-4.34373,-3.8437,-2.53017,-1.75545,-1.41226
290123000,-3.46419,-3.39693,-2.41652,-1.80145,-1.50278,-0.95531,-4.3197,-3.82415,-2.51133,-1.74357,-1.39868
291523000,-3.4495,-3.38543,-2.40969,-1.79654,-1.49742,-0.95304,-4.31193,-3.81782,-2.51533,-1.75759,-1.40894
292923000,-3.44365,-3.38499,-2.41271,-1.8006,-1.50221,-0.96421,-4.29044,-3.79945,-2.50678,-1.74817,-1.40572
294323000,-3.43692,-3.37353,-2.40507,-1.8037,-1.50164,-0.96332,-4.2793,-3.79349,-2.50542,-1.75567,-1.4112
295723000,-3.42663,-3.36578,-2.40267,-1.80682,-1.50201,-0.96494,-4.26548,-3.78492,-2.50315,-1.75896,-1.41255
297123000,-3.41515,-3.35355,-2.39565,-1.80135,-1.49987,-0.96478,-4.25753,-3.77602,-2.50099,-1.76084,-1.41641
298523000,-3.40555,-3.34801,-2.39022,-1.8009,-1.49727,-0.96665,-4.23797,-3.76706,-2.49449,-1.76015,-1.4128
299924000,-3.39237,-3.33467,-2.38496,-1.79881,-1.50043,-0.96658,-4.2198,-3.74248,-2.477,-1.74664,-1.40459
